pro,label,tokenized
"a set of cute girl designer toy , in pixar style, stylized style , minimalist , --ar 16:9","adj, collective, element, style, subject",
"map of a fictional world, highly detailed","adj, element, subject",
"a film still of a black man starring in a japanese blockbuster film as samurai, futuristic, shallow depth of field, cinematic, award winning cgi, vfx, film still ","adj, collective, composition, element, style, subject",
"wooden tukutuku panel, geometric design, wooden panelling, sharp lines, equilateral triangles","adj, element, style",
"a beautiful sunset in pastel colors on a tropical beach, oil painting","adj, color, environment, style, subject",
"a painting of a person standing in a room full of clocks, all of which are stopped at different times.","adj, collective, environment, subject",
"vibrant ultra clear submarine in a shape of fish by laurie greasley rene magritte gustave dore, low contrast, cinematic dramatic lighting, hyper realistic detailed intricate render, hypermaximalist, ornate, epic composition, 4 k 8 k, octane blender, sharp focus, concept art, masterpiece award winning ","adj, color, composition, element, lightening, style, subject",
"brutalist temple, beach shore, backlit rimlight, black golden, crowd crowds of people, rave party windows, glitch screens --ar 16:9","collective, color, element, environment, lightening, style, subject",
"cold foggy morning in the field, alien plants by simon stÃ¥lenhag","adj, environment, style, subject",
"portrait of a rococo princess, ezekiel inks, tom bagshaw, featured on artstation","composition, style, subject",
"''mechanical steampunk banana mech in solarpunk world, concept art' upscaled''","element, style, subject",
2010 offbrand modern futuristic mp3 player,"style, subject",
benjamin netanyahu in fifa,subject,
"an image that is heavily blurred and obscured, making it difficult to make out any details",adj,
"portrait mortuary demon wraith skelebrain mindlayer. fantasy art effigy. creepy portrait of a dungeon landscape. brad rigney, pete mohrbacher, daniel conway, clint clearley, greg staples, scott m fischer, stephan matiniere","adj, composition, environment, style, subject",
an orchid mantis drinking from a drop of dew,"adj, collective, subject",
adorable ruby bunny creature ,"adj, subject",
"in the streets of miami in the style of gtav, full - frame of tommy vercetti, wearing a hawaiian - shirt, as a character from gtav, looking at camera ","adj, composition, environment, style, subject",
"photo body building chihuahua , extreme muscles ¡ªar 4:5","adj, element, style, subject",
"makise kurisu, digital art, 4k","element, style, subject",
"film still of emma watson inside avocado!!! skin in the new scifi movie, 4 k by iris van herpen ","style, subject",
"1 0 0 0 0 people at the beach wearing purple swimsuits, using yellow and green umbrellas, edward burtynsky photograph ","adj, collective, color, environment, style, subject",
"dalmatian with saxophone, in tuxedo with top hat, medieval portrait, low poly, close up ","adj, composition, style, subject",
the mafia boss meeting in the council chamber,"environment, subject",
"robotic micky mouse head, overgrown, twisted vines, a flower meadow, iridescent, beeple ","adj, color, environment, style, subject",
red velvet underwear,"adj, color, subject",
"masterpiece modern religious artwork of the oracle veku the radiant one surrounded by a group of adoring fans, all reaching out to touch him.","adj, collective, mood, style, subject",
"baja california bay in the style of hudson river school of art, oil on canvas ","environment, style",
junji ito minion,"style, subject",
"a wwii soviet propaganda poster advertising an android smartphone by rei kamoi and dan mumford and robin eley, communist hammer and sickle ","adj, style, subject",
a painting with dark colors that makes the viewer feel uneasy,"color, mood",
"majestic princess of thunder, anime portrait, style of duelyst, by ilya kuvshinov, anton fadeev, nicola salvior, kyoto animation","adj, composition, style, subject",
"yearning shinzo abe, painting inspired by ghibli studio, rossdraws and hayao miyazaki --h 856 --w 1640","adj, element, mood, style, subject",
white fox steampunk portrait,"color, composition, style, subject",
"mysterious figure in striking cloak walking through sandstorm in desolate desert, buried city, global illumination, hyper-realistic, insanely detailed and intricate, cinematic 8k","adj, atmosphere, element, environment, lightening, style, subject",
brutalist glacier,"style, subject",
a beautiful sunrise or sunset: the colors of the sky are so beautiful and the air is so fresh.,"adj, color, subject",
blue gradient color with bayer dithering,"color, element",
"character study of mike patton and adolf hitler dressed as a homeless, clear, evil, glasses, character sheet, fine details, concept design, contrast, kim jung gi, da vinci and pixar, trending on artstation, 8 k, full body and head, turnaround, front view, back view, ultra wide angle ","adj, composition, element, style, subject",
and round his heart one strangling golden hair by frederick stevens and william rosetti and james collison,"color, style, subject",
"an ultra realistic, cinematic, fantasy, portrait, of a sad man / ork, lord of the rings, soft light, facial features, stood in a forest, with victorian clothing, detailed, deep focus, movie still, dramatic lighting, ray tracing, by michal karcz and yoshitaka amano ","adj, composition, element, environment, lightening, mood, style, subject",
"""ukiyo-e surfing cloaked woman with black hood and black clothing"". by studio ghibli and akira toriyama","adj, color, style, subject",
an abstract art painting depicting loneliness ,"mood, style",
"depiths creature below, cgsociety, artstation, rendered, 4k illustration","element, style, subject",
artists depiction of a space station as imagined by wernher von braun,"style, subject",
complex pattern organic cotton in the style of tappestry highly detailed,"adj, element, style, subject",
claudio sanchez as an angel deity looking down on world,"adj, subject",
"giant imposing seraphim with many eyes and many wings, eyes everywhere, hyper realistic, glowing, terrifying, artstation ","adj, collective, mood, style, subject",
"a painting of a creature made entirely of metal. the creature is skeletal in appearance, and it has red eyes that glow with an inner fire.","adj, collective, color, subject",
tapestry of final fantasy,"style, subject",
"a fox looks out across  the blossoming valley at sunrise. peaceful pastel palette, beautiful matte painting. trending on artstation","adj, color, environment, style, subject",
"utopian arcology, detailed digital art by howard arkley, anton fadeev and john conrad berkey","element, style",
cactus | totoro | dreamlike | pastel | upscaled,"atmosphere, element, style, subject",
"photorealistic gritty kite shaped ancient space station made of black iron stone with faded red ascents, in dark outer space, dark space background, 8k octane render, matte painting --ar 16:9 --seed 1234","adj, color, element, environment, lightening, style, subject",
balance libra,subject,
"die cut sticker, vegan designer toy, vegan art toy, vegan animal","adj, repeating, subject",
"giant easter island head house underwater, 35mm photography, ¡ªar 9:15","adj, composition, element, environment, subject",
"a person, their eyes glowing with excitement. the person is full of energy and life, and their eyes are shining with excitement. they are ready to take on the world.","adj, collective, mood, subject",
"lana del rey illustration by alphonse mucha, ultra-detailed, 2d","element, style, subject",
elaborate amazing detailed beautiful extravagant character,"adj, element, subject",
a busy street in dieselpunk detroit by asher brown durand and eddie mendoza featured on artstation,"adj, environment, style",
"portrait of holy superwoman, d&d, fantasy, highly detailed, digital painting, artstation, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha","composition, element, style, subject",
"aerial view, futuristic city, glass and ceramic, tall buildings, downtown, peaceful, mountains in the back, builtiful epic lighting --no dof --ar 16:9","adj, atmosphere, composition, element, environment, lightening, negative, style, subject",
"a citadel of hell creaks and groans as an inferno rages above and below with electric magma explosions, sailor moon, berserk, final fantasy, james jean, mucha, beksinski, barlowe --w 128 --h 256","composition, element, environment, mood, style",
"a detailed painting of a huge forest in spring, digital art by wylie beckert and eric fortune, highly detailed award-winning masterpiece with incredible and beautiful details, trending on artstation","adj, element, environment, repeating, style",
