index,prompt,Subject,Style,Mood,Lighting,Environment,Color,Element Value,Composition,Repeating term,Negative prompt,Collective Noun
0,"buff math teacher wearing glasses and a green polo shirt has a goatee and fights with a chromebook, anime, epic, detailed ",1,1,0,0,0,0,1,0,0,0,0
1,"ultra realistic illustration, robot brown owl against a green back for chroma key by artgerm and greg rutkowski and alphonse mucha, trending on artstation ",1,1,0,0,1,1,0,0,0,0,0
2,"a closeup painting of a gigachad making a tiny smirk, mouth shut, face by greg rutkowski, trending on artstation ",1,1,0,0,0,0,0,1,0,0,1
3,"gundam 3 d photo of a robot ninja jumping with a skateboard, venice beach, design by mark ryden, unreal 5, hyperrealistic, octane render, cosplay, rpg portrait, dynamic lighting, intricate detail, summer vibe, cinematic lighting, beeple ",1,1,1,1,1,0,1,1,0,0,0
4,a grey bunny cat - a cat combined / merged with a rabbit,1,0,0,0,0,1,0,1,0,0,0
5,"a mixed media portrait painting of crockett and tubbs, miami vice, ultra realistic, highly detailed, by frank frazetta, greg rutkowski, beeple, yoko taro, christian macnevin, beeple, wlop and krenz cushart, epic fantasy character art, volumetric indoor lighting, midday, high fantasy, cgsociety, cheerful colours, full length, exquisite detail, post - processing, masterpiece, cinematic ",1,1,0,1,0,1,1,1,1,0,0
6,"white cat with fashion model face, hyperrealism oil painting portrait ",1,1,0,0,0,1,0,0,0,0,0
7,portrait of gregory hirsch from the tv show succession climbing a ladder,1,1,0,0,0,0,0,1,0,0,0
8,"album cover of an avant - garde japanese bjd geisha vampire queen with porcelain skin in victorian red dress in the style of dark - fantasy lolita fashion painted by yoshitaka amano, takato yamamoto, christopher shy, dmt art, symmetrical vogue face portrait, intricate detail, artstation, cgsociety, artgerm, gold skulls, rococo, no hands ",1,1,0,0,0,1,1,1,0,1,1
9,"realistic detailed image of a soul cycle of reincarnation, depth perception, depth of field, action horror by lisa frank, ayami, kojima, amano, karol bak, greg hildebrandt, and mark brooks, neo - gothic, gothic, rich deep colors. beksinski painting, part by adrian ghenie and gerhard richter. art by takato yamamoto. masterpiece ",1,1,0,0,0,1,1,1,0,0,0
10,"vintage polaroid analog photo of a beautiful young gay man, warm azure tones, heavy lensflare, color bleed, film grain, depth of field, jules bastien - lepage, rudolph belarski, johfra bosschart, alexandre cabanel ",1,1,0,0,0,1,1,0,0,0,0
11,"a massive cenote hole in the ground, hundreds of large futuristic steampunk modern halo, mass effect, star wars futuristic buildings built on and around the cliff wall, large towering and cylindrical steampunk central tower in the middle, mattepainting, concept art, future architecture, by neil blevins, artstation, deviantart ",1,1,0,0,0,0,0,1,0,0,1
12,"highly detailed painting of green and red furry cats cuddling in a basket by william turner, thick brush strokes and visible paint layers, 4 k resolution ",1,1,0,0,0,1,1,0,0,0,0
13,cartoonised cat holding a comically large silver spoon ,1,1,0,0,0,0,0,0,0,0,0
14,"photo of illuminati pepe the frog on the path to enlightenment, 8 k ",1,1,0,0,0,0,1,0,0,0,0
15,"portrait of donald trump, vga ",1,0,0,0,0,0,1,0,0,0,0
16,"a full body fantasy portrait oil painting illustration of a single rugged stoic barbarian man by justin sweet with face and body clearly visible, d&d, rpg, forgotten realms, artstation trending, high quality, sombre mood, artstation trending, muted colours, no crop, entire character!,",1,1,1,0,0,1,1,1,1,0,1
17,"stunning 3 d render of roadhog ( overwatch ) looking at you, illustrated by norman rockwell and jc leyendecker, sharp thick lines, vivid colors, soft vignette, 8 k octane render, hd blender render, post - processing, masterpiece ",1,1,1,0,0,1,1,0,0,0,0
18,audrey hepburn art by camille pissarro ,1,1,0,0,0,0,0,0,0,0,0
19,a throne made of cupcakes ,1,0,0,0,0,0,0,0,0,0,0
20,the ghost knows you're asleep ,1,0,1,0,0,0,0,0,0,0,0
21,"minecraft villager in real life, highly detailed, portrait photography, deep contrast",1,1,0,1,0,0,1,0,0,0,0
22,"white tiger vs dark lion, by wlop, photoshoot, insanely detailed and intricate, hypermaximalist, elegant, ornate, hyper realistic, super detailed ",1,1,0,0,0,0,1,0,0,0,0
23,"a tight shot of a dark alien ship interior corridor by ridley scott, high contrast, aliens movie, grainy, moody, dark, bleak, arriflex 35 iii camera",1,1,1,1,0,0,1,1,0,0,0
24,"full length body portrait of marvel villain eldrad, vibrant volumetric dark natural light, dark enlightenment, ink drawing by zdzislaw beksinski, jack kirby, tom lovell, alex malveda, greg staples ",1,1,1,1,0,0,0,0,0,0,0
25,"psychedelic mushrooms, enchanted alien world, mushrooms on the ground, aliens, galaxy in the sky, butterflies, occult, illuminati, third eye, rainbows, bright colors, psychedelic, fish eye lens, vector art, fantasy poster by helen huang and frank frazetta and salvador dali ",1,1,0,0,1,1,0,1,0,0,0
26,"a camouflage pattern weather report style, 8 k, unreal ",1,1,0,0,0,0,1,0,0,0,0
27,"alien supercity, dense metropolis, brutalist architecture, bizarre and imposing megastructures, vanishing point perspective, drone speedways, twilight, style of jim burns",1,1,1,1,0,0,0,1,0,0,0
28,"one gigantic brutalist ancient tower, a detailed structure with at the top 3 spires in form of a trident, 1 0 0 0 meters tall set against sunlit, surrounded by smoke, mountains and a huge old city, 8 k, volumetric lighting, cinematic composition, octane render, dark surrealism, highly detailed by peter mohrbacher, hajime sorayama, wayne barlowe, boris vallejo, aaron horkey, gaston bussiere, craig mullins ",1,1,0,1,0,0,1,1,0,0,1
29,"i find solace in a world wiped clean. swallow me whole, abysmal mouth. ",1,0,1,0,1,0,0,0,0,0,0
30,"citizens are herded into cells by authoritarian robots in a fascist police state, art by george tooker and marc simonetti and donato giancola ",1,1,0,0,1,0,0,0,0,0,0
31,"a pastel pink and orange abstract minimalist art, calming, smooth gradients ",1,1,1,0,0,1,0,0,0,0,0
32,"stunning portrait of joaquin phoenix laughing from the movie joker, by victo ngai, kilian eng vibrant colors, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aestheticly inspired by beksinski and dan mumford, upscale with simon stalenhag work, artstation, 8 k ",1,1,1,1,0,1,1,0,0,0,0
33,"a fantasy comic book style portrait painting of jjapanese monster shuten doji and ibaraki doji kiss, unreal 5, daz, hyper realistic, octane render, rpg portrait, ambient light, dynamic lighting ",1,1,0,1,0,0,0,1,0,0,0
34,"dynamic fullbody portrait of a beautiful!!! female knight wearing her armor, renaissance dresses and mood, by greg rutkowski and gaston bussiere and craig mullins and j. c. leyendecker ",1,1,1,0,0,0,0,1,0,0,0
35,"john madden competitive knitting : the video game 1 9 9 7 tournament edition for the nintendo genesis, game case, box art ",1,1,0,0,0,0,0,0,0,0,0
36,centered cell shaded! head portrait of female color art by laurie greasley ,1,1,0,0,0,0,0,1,0,0,0
37,"realistic character concept, gorgeous kacey rohl,  red hair, small freckles, symmetrical face, symmetrical eyes, green dress, covered in blood, dark forest, trees, shorter neck, cinematic lighting, joshua middleton and artgerm, fear anxiety terror",1,1,1,1,1,1,1,1,0,0,0
38,"cg, armor girl, machine, beautiful eyes, beautiful face, high detail, concept art, digital art, art of wlop, trending on artstation, trending on deviantart, 4 k, ",1,1,1,0,0,0,1,0,0,0,0
39,"apollo mission lands on mars, 4k, flickr",1,1,0,0,1,0,1,0,0,0,0
40,"a cinematic portrait of sephiroth, power auras, sigils, art by ayami kojima, cinematic, hyper realism, high detail, 8 k, vibrant colors, smooth gradients, high contrast, depth of field, aperture f 2. 8 ",1,1,1,0,0,1,1,1,0,0,0
41,"5 0 cents at all angles clash royal style characters, unreal engine 5, octane render, detailed, brawl stars, cinematografic, cinema 4 d, artstation trending, high definition, very detailed, blender ",1,1,0,0,0,0,1,1,1,0,1
42,"brad pitt portrait, borderlands, tales from the borderlands, the wolf among us, comic, cinematic lighting, studio quality, 8 k ",1,1,0,1,0,0,1,0,0,0,0
43,"a giant oversized octopus body on the floor inside of a warmly - lit victorian - era home, looking out the window into a large front yard faded daguerreotype, 1 9 1 0 s photography ",1,1,0,1,1,0,1,1,0,0,0
44,"naturepunk deity of retrofuture dream logic creativity, beautiful detailed realistic cinematic with astronaut character with helmet with transparent visor with reflection of american flag concept fashion portrait, hi - fructose art magazine, by anton fadeev and paul lehr and david heskin and josan gonzalez, 8 k ",1,1,1,0,0,0,1,1,0,0,0
45,"subsurface scattering, a glistening wet albino lion with mirror sunglasses and scattered pearls crystals gold wires glass tubes and long rainbow hair swirling in spirals, vibrant colors, front facing, symmetric ( ( ( ( vibrant colors ) ) ) ) octane render, jesper ejsing, james jean, justin gerard, tomasz alen kopera, cgsociety, fenghua zhong, makoto shinkai, highly detailed, rim light, art, cinematic lighting, very coherent, hyper realism, 8 k ",1,1,0,1,0,1,1,1,1,0,0
46,"grey alien with large black eyes holding an energy rifle on an alien planet with purple soil, green sky, blue and yellow fauna, alien creatures in the background, 3d render, unreal engine, octane render, ray tracing, unity, highly detailed, high quality, hd, 4k, 8k, realistic, sharp, trending",1,1,0,0,1,1,1,0,0,0,0
47,tupac digital art ,1,1,0,0,0,0,0,0,0,0,0
48,plato plays basketball with derrida on the acropolis,1,0,0,0,1,0,0,0,0,0,0
49,"metallic sliced hot pepper floating,made of intricate lines,sense of technology,acid design,hyper detaile,pinterest,three-dimensional,maya,olorful metallic colors,future sense,8k resolution",1,1,0,0,0,1,1,0,0,0,0
50,a bear wearing a suit and hat and holding a briefcase,1,0,0,0,0,0,0,0,0,0,0
51,"chernobyl station at spring, wes anderson style, noon, symmetry :: 1 cumulonimbus clouds :: 0.3 yellow :: 0.3 orange :: 0.3 red :: 0.2 --ar 16:9",1,1,0,0,1,1,1,1,0,0,1
52,"tarot card alien, blue and yellow, artstation, vivid, pharaonic patterns, --ar 5:7",1,1,0,0,0,1,1,0,0,0,0
53,"a beautiful painting of an alien building, patterns, yellow and blue, sci fi, artstation, ralph mcquarrie --ar 7:5",1,1,0,0,0,1,1,0,1,0,0
54,illustration of an art deco wing,1,1,0,0,0,0,0,0,0,0,0
55,"cute furry monster in pixar with star, colorful, volumetric lighting, 4k, photorealistic",1,1,0,1,0,1,1,0,0,0,0
56,"a blueprint of steampunk style cat, whose body is composed of pig iron gears, copper clockwork, black metal foil, symmetrical, art style refer to game machinarium.  concept design, two large pliers, refer to shapeshifter concepts  of artstation, cinematic,  8k, high detailed,  volume light,  soft lights,  post processing    --ar 8:5",1,1,0,1,0,0,1,1,0,0,0
57,beautiful multiverse dimensional mystic ancient cathedral labyrinth at the end of the fractal universe dawn  ultrarealistic photography 4k render  --w 1792 --h 1024,1,1,1,0,1,0,1,0,0,0,0
58,early 2000s yahoo office purple sunnyvale yellow computers crash bandicoot spyro ps1,1,1,0,0,1,1,0,0,0,0,0
59,a saint in the style of ortodox painting with aura,1,1,0,0,0,0,1,0,0,0,0
60,"a highly detailed render of ultra-high resolution, as rendered in unreal 3d love, moment, the time of time  shot deck, art station painting of an an abandoned 19th-century apartment taken doorknob productions, sa mountain lake highly detailed image realistic and atmospheric dynamic perspective unreal engine --ar 16:8",1,1,1,0,0,0,1,1,1,0,0
61,"teddy bear, animal print skin --ar 16:9",1,1,0,0,0,0,1,0,0,0,0
62,artwork by alice pasquini,0,1,0,0,0,0,0,0,0,0,0
63,"ethereal goddess of poppies, beautiful balyage light brown hair woman like dilraba dilmurat, california girl, wearing a flowing dress, lots of flowers, symmetrical face, art nouveau, portrait, cute, playful, fairy, harper's bazaar, pearlescent, sacred geometry, detailed background, featured on artstation, by daniel gerhartz, by ross tran, bright pastel colors, face by artgerm, by kelly mckernan, by charlie bowater, by laura rubin, 8k",1,1,0,0,0,1,1,1,0,0,1
64,"planning of smoking meat, power point",1,1,0,0,0,0,0,0,0,0,0
65,"the grim adventures of billy & mandy  ,grim, animation cartoon style cuphead",1,1,0,0,0,0,0,0,0,0,0
66,"colorful mob boss billionaire parrot villain portrait, wearing a smoking jacket, drinking wine, classy cartoon by will eisner, by glenn fabry",1,1,0,0,0,1,0,1,0,0,1
67,a guy holding a boom pole in the ocean,1,0,0,0,1,0,0,0,0,0,0
68,"a squadron of giant squids flying in the venus sky, in the style of chesley bonestell --ar 16:9",1,1,0,0,1,0,1,0,0,0,1
69,"9 dnd demon lords etched into a strobe tablet, inside of a tomb, volumetric, octane render",1,1,0,0,1,0,0,0,0,0,1
70,lotr treebeard as musashi,1,1,0,0,0,0,0,0,0,0,0
71,david hasselhoff dancing to techno in berghain,1,0,0,0,1,0,0,0,0,0,0
72,"action figure mao zedong, isometric, 80s newspaper ad",1,1,0,0,0,0,0,1,0,0,0
73,"love, moment, important, alchemical, sigil, amazon forest a highly detailed render of ultra-high resolution, as rendered in unreal 3d --ar 16:8",1,0,0,0,1,0,1,0,0,0,0
74,flat rendered vector art 3d inflated character,1,1,0,0,0,0,1,0,0,0,0
75,"a christmass tree, christmass lights, white background, style of norman rockwell --ar 16:9",1,1,0,0,1,0,1,0,1,0,0
76,"architectural hologram, colours of deep green and gold, streaking lights and glowing particles, --ar 16:9",1,0,0,1,0,1,1,0,0,0,0
77,1974 album cover why did you leave?,0,1,0,0,0,0,0,0,0,0,0
78,"a blueprint of steampunk style interior of laboratory,  overview, environment  design,  alchemist's counter selling glass bottles filled with medicine,  trending on pinterest.com  , high quality specular reflection , a lot of equipment for experiments , many books and paper , bookshelf,  chandeliers illuminate the floor, copper  edge, in the middle of the image, brass pipeline,  black metal foil,  art style refer to game machinarium.  concept design, refer to shapeshifter concepts  of artstation, cinematic,  8k, high detailed,  volume light,  soft lights,  post processing    --ar 7:3",1,1,0,0,1,0,1,1,0,0,1
79,"a set of cat robot,designer toy, art toy ,in stylized style, pixar style,minimalist, --ar 16:9",1,1,0,0,0,0,1,0,0,0,1
80,"a goat flying above a sea of worms, cinematic, realist, high details, 4k",1,1,0,0,0,0,1,0,0,0,0
81,white box in the jungle ::  white box ::  dense jungle ::  heavy fog ::  large leaves --ar 3:5,1,0,1,0,1,0,1,1,1,0,0
82,"a cartoon penguin laying in a lawn chair by the swimming pool enjoying a lemonade, trending on artstation",1,1,0,0,1,0,0,0,0,0,1
83,hyperconnectivity,0,0,0,0,0,0,1,0,0,0,0
84,"highly detailed photograph, 4k, of a lobby by beksinkski, brutalist architecture, roger dean, cubism  --uplight --ar 16:9",1,1,0,1,0,0,1,0,0,0,0
85,"this is a  liminal space lit dimly cottage.  concept design,the religious chair is in the middle of the picture. a large number of  religious tools are hung on the roof. they are dilapidated and rotten. a ray of moonlight and mottled walls are attracted by a small iron window, color scheme refer to jin xiaodi of artstation, refer to enzhe zhao's dungeon maze of artstation,  refer to game dark souls, cinematic,  8k, high detailed,  volume light,  soft lights,    --ar 16:9",1,1,1,1,0,0,1,1,0,0,1
86,dracula drivers license photo,1,1,0,0,0,0,0,0,0,0,0
87,"abstract tinkering 3 :: 0.01 glorious glowing opal figure sculpture of the queen of geometry, by karol bak and filip hodas, chrome lasers :: 1.4 chrome grim dark nebula tornado :: 1.2 intuit queen of geometry art :: 0.4 damask wallpaper :: 0.5 symmetrical ::  smooth polished opal gemstone queen of geometry sculpture, natural volumetric lighting, realistic 4k octane beautifully detailed render, 4k post-processing ::   shatter smash  break  burst  split  crack  crush  explode  demolish  implode  pulverize :: 1.3 --ar 9:16 ¡ªiw 0.2 --no blurry painting white blur bokeh brushstrokes",1,1,0,1,0,0,1,1,1,1,0
88,a cat frog walks in the enchanted forest ghibli,1,0,0,0,1,0,0,1,0,0,0
89,"devil may cry, stained glass windows, impossibly intricate details, ornate, gold accents, gothic architecture,  exquisitely intricate details, perfectly  surrealism, golden light, symmetrical, alphonse mucha, neoclassicism, hyper realistic, ultra detailed, 8k --ar 7:16",1,1,0,0,1,0,1,1,1,0,0
90,"a cartographer's workshop, wordless bible, many maps strewn about and hanging on walls, telescope, ink and quill, optical devices, sextant, compass, measuring tools, globe, dramatic lighting, epic composition, wide angle, by miyazaki, nausicaa ghibli, breath of the wild,dramatic lighting --aspect 3:4",1,1,0,1,0,0,1,1,1,0,1
91,frog,1,0,0,0,0,0,0,0,0,0,0
92,"while sightseeing around spain, simone wets her dress laughing ¡ªar 16:9 --hd",1,0,1,0,1,0,1,0,0,0,0
93,psx fps horror video game render screenshot with scanlines --no text,1,1,0,0,0,0,1,0,0,1,0
94,cool blackhole wallpaper ¡ªh 2532 ¡ªw 1170,1,1,1,0,0,0,1,0,0,0,0
95,underwater landscape made of female bodies,1,0,0,0,1,0,0,0,0,0,0
96,ascii art of a doorway into the dreams of a dying god,1,1,1,0,1,0,0,0,0,0,0
97,polaroid of a family of alpacas eating fondue in a chalet,1,1,0,0,1,0,0,0,0,0,1
98,this is a 4k photo of the angriest potato,1,0,1,0,0,0,1,0,0,0,0
99,"a giant goose next to a tiny eiffel tower, 4k photograph",1,1,0,0,0,0,1,0,0,0,0
100,"street of a town made of giant dinosaur bones by cornelis springer, marc simonetti, van haanen, oil on canvas trending on artststion",1,1,0,0,0,0,0,0,0,0,1
101,professional hdr bokeh portrait of a man in a suit standing in front of a large machine,1,1,0,0,1,0,1,1,0,0,0
102,portrait it's the face of an armored myrmidon ismail nieto jeff simpson unreal engine render,1,1,0,0,0,0,0,1,0,0,0
103,circuits of a pc,1,0,0,0,0,0,0,0,0,0,0
104,rich evans portrait studio photo,1,1,0,0,0,0,0,0,0,0,0
105,portrait of a cute witch by dantewontdie,1,1,0,0,0,0,0,0,0,0,0
106,"rgb gaming hamburger, league of legends splash art",1,1,0,0,0,1,0,0,0,0,0
